geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
12031000100,31,0.02738,1,0.79658,0,0.18826,0,0.29011,0,0.07048,0,0.01311,1,0.58441,0,0.06338,1,0.33473,0,0.00598,0,0.26936,0,0.00255,0.00625,5483,7.41033,739.91257,0.55785,0.40308,0.72243,0.43288
12031000200,31,0.01226,1,0.78489,0,0.17426,0,0.36198,0,0.08816,0,0.0,1,0.90512,0,0.03401,1,0.03149,0,0.00258,0,0.12305,0,0.00391,0.00361,2496,4.83464,516.27421,0.53075,0.75566,0.79202,0.36185
12031000300,31,0.0,1,0.72749,0,0.24833,0,0.43753,0,0.10507,0,0.0,1,0.63995,0,0.03198,1,0.27076,0,0.00254,0,0.05793,0,0.00269,0.00262,2405,3.63806,661.06597,0.55416,0.64911,0.5882,0.46718
12031000600,31,0.18153,0,0.85528,0,0.16446,0,0.3052,0,0.06234,0,0.14925,1,0.32712,0,0.09639,1,0.39539,0,0.0051,0,0.23993,0,0.01232,0.00483,4856,5.01313,968.65693,0.66854,0.64944,0.6725,0.56596
12031000700,31,0.05043,1,0.95793,0,0.05396,0,0.17741,0,0.032,0,0.06118,1,0.15224,0,0.03365,1,0.72753,0,0.00421,0,0.02634,0,0.00281,0.00479,4201,4.61643,910.01077,0.69766,0.76226,0.71188,0.6349
12031000800,31,0.02356,0,0.88017,0,0.10372,0,0.11237,0,0.07466,0,0.02451,1,0.06297,0,0.07655,0,0.8043,0,0.00338,0,0.17129,0,0.07931,0.00286,2611,3.33102,783.84308,0.74427,0.81167,0.7413,0.69557
12031001000,31,0.03492,0,0.37869,0,0.39282,0,0.52993,0,0.16066,0,0.01883,1,0.63427,0,0.06045,0,0.26761,0,0.00611,0,0.0,1,0.00409,0.00147,6084,1.18227,5146.05063,0.60681,0.73935,0.58066,0.53518
12031001100,31,0.01181,1,0.82603,0,0.15483,0,0.17545,0,0.06502,0,0.03195,1,0.30493,0,0.0426,1,0.58632,0,0.00206,0,0.35035,0,0.00096,0.00173,1688,1.05458,1600.63382,0.595,0.76657,0.52167,0.51747
12031001200,31,0.01473,1,0.74917,0,0.12085,0,0.30813,0,0.06562,0,0.03994,1,0.36377,0,0.04327,1,0.50689,0,0.00259,0,0.23347,0,0.0039,0.00222,2038,1.38653,1469.85745,0.63458,0.78528,0.53845,0.52005
12031001300,31,0.01578,1,0.62988,0,0.30109,0,0.35659,0,0.07374,0,0.00204,1,0.85175,0,0.03674,1,0.08727,0,0.00429,0,0.31317,0,0.00469,0.00293,3840,2.28049,1683.84556,0.64342,0.82436,0.7211,0.54787
