idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
368,-81.74479,30.18935,0.89304,0.92572,0.40542,0.43877,0.0,0.67094,0.7322,0.80178,0.36778,0.56968,0.71516,0.99181,0.58819,0.61894
441,-81.76127,30.19682,0.89304,0.98363,0.47386,0.43877,0.0,0.67094,0.7322,0.80178,0.36778,0.56968,0.76085,0.99436,0.60684,0.64014
442,-81.75296,30.19669,0.89304,0.98363,0.47386,0.43877,0.0,0.67094,0.7322,0.80178,0.36778,0.56968,0.76085,0.99436,0.63032,0.66361
443,-81.74464,30.19655,0.89304,0.99517,0.60183,0.43877,0.0,0.67094,0.7322,0.80178,0.36778,0.56968,0.76246,0.99094,0.64732,0.68084
444,-81.73632,30.19642,0.2584,0.9686,0.28779,0.1183,0.42434,0.3498,0.90116,0.85292,0.2578,0.87734,0.68778,0.98108,0.59623,0.60576
445,-81.728,30.19629,0.86325,0.7579,0.70925,0.39173,0.5882,0.43615,0.85365,0.76374,0.33503,0.70556,0.69275,0.99188,0.61302,0.61311
446,-81.71969,30.19616,0.86325,0.7579,0.70925,0.39173,0.5882,0.43615,0.85365,0.76374,0.33503,0.70556,0.69275,0.99188,0.61302,0.61311
517,-81.7528,30.20389,0.95128,0.98826,0.86929,0.56586,0.49601,0.5417,0.86305,0.85459,0.6702,0.85701,0.3141,0.97195,0.6341,0.63406
519,-81.73617,30.20363,0.2584,0.9686,0.28779,0.1183,0.42434,0.3498,0.90116,0.85292,0.2578,0.87734,0.68778,0.98108,0.60632,0.61586
596,-81.71938,30.21057,0.86325,0.97987,0.39791,0.39173,0.5882,0.43615,0.85365,0.76374,0.33503,0.70556,0.68812,0.9996,0.60283,0.60609
748,-81.70243,30.22471,0.86325,0.97987,0.39791,0.39173,0.5882,0.43615,0.85365,0.76374,0.33503,0.70556,0.68812,0.9996,0.63494,0.6382
765,-81.56102,30.22236,0.53607,0.84896,0.94941,0.19171,0.78951,0.30175,0.95706,0.95437,0.6851,0.97068,0.36932,0.97403,0.63122,0.61574
766,-81.5527,30.22222,0.53607,0.82413,0.0,0.19171,0.78951,0.30175,0.95706,0.95437,0.6851,0.97068,0.79246,0.92538,0.64641,0.6403
818,-81.74388,30.23259,0.95128,0.87325,0.76649,0.56586,0.49601,0.5417,0.86305,0.85459,0.6702,0.85701,0.68698,0.94753,0.65273,0.65047
841,-81.55253,30.22943,0.53607,0.72368,0.98363,0.19171,0.78951,0.30175,0.95706,0.95437,0.6851,0.97068,0.79219,0.93827,0.71879,0.7107
889,-81.77701,30.24032,0.67966,0.67517,0.4581,0.46548,0.64001,0.80111,0.39308,0.65779,0.6186,0.66537,0.60437,0.93451,0.61836,0.6187
893,-81.74373,30.23979,0.95128,0.93592,0.43293,0.56586,0.49601,0.5417,0.86305,0.85459,0.6702,0.85701,0.68355,0.95135,0.63698,0.6356
895,-81.72709,30.23953,0.52721,0.7579,0.44407,0.52728,0.9643,0.60686,0.93558,0.67201,0.82923,0.77434,0.62014,0.90733,0.65974,0.64389
896,-81.71876,30.2394,0.52721,0.7579,0.5156,0.52728,0.9643,0.60686,0.93558,0.67201,0.82923,0.77434,0.60914,0.84171,0.66005,0.64452
960,-81.81014,30.24804,0.92317,0.91599,0.80205,0.30282,0.98933,0.4489,0.7375,0.76897,0.51104,0.62692,0.37026,0.98021,0.65126,0.64429
964,-81.77686,30.24752,0.67966,0.97443,0.37341,0.46548,0.64001,0.80111,0.39308,0.65779,0.6186,0.66537,0.60458,0.9119,0.63338,0.63847
968,-81.74357,30.247,0.95128,0.96605,0.3194,0.56586,0.49601,0.5417,0.86305,0.85459,0.6702,0.85701,0.68698,0.86942,0.63326,0.63295
