idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
477,-82.47556,27.67163,0.22378,0.67726,0.29535,0.17965,0.90929,0.58992,0.82573,0.91498,0.89762,0.41391,0.48019,0.97529,0.58278,0.57113
478,-82.46744,27.67154,0.22378,0.67726,0.29535,0.17965,0.90929,0.58992,0.82573,0.91498,0.89762,0.41391,0.48019,0.97529,0.58278,0.57113
612,-82.46724,27.68595,0.22378,0.0,0.40548,0.17965,0.90929,0.58992,0.82573,0.91498,0.89762,0.41391,0.78001,0.58066,0.56765,0.5561
613,-82.45911,27.68586,0.22378,0.84583,0.38351,0.17965,0.90929,0.58992,0.82573,0.91498,0.89762,0.41391,0.77495,0.72357,0.63322,0.63274
689,-82.37774,27.69214,0.413,0.0,0.40179,0.53859,0.0,0.14637,0.0,0.04818,0.11469,0.0,0.14669,0.95168,0.20199,0.19683
814,-82.43442,27.7072,0.64539,0.0,0.30651,0.62661,0.92542,0.32215,0.84638,0.80886,0.86548,0.3924,0.7062,0.94612,0.60307,0.58206
815,-82.42629,27.70711,0.64539,0.76638,0.47108,0.62661,0.92542,0.32215,0.84638,0.80886,0.86548,0.3924,0.7062,0.93408,0.68257,0.67314
816,-82.41816,27.70701,0.64539,0.0,0.33026,0.62661,0.92542,0.32215,0.84638,0.80886,0.86548,0.3924,0.7062,0.82928,0.59647,0.5763
818,-82.40191,27.70683,0.75288,0.83653,0.46629,0.39158,0.42326,0.21466,0.81187,0.71983,0.32981,0.67279,0.7062,0.87546,0.5891,0.59809
826,-82.33688,27.70607,0.31978,0.82454,0.30022,0.48936,0.86552,0.25181,0.97014,0.91115,0.54698,0.53872,0.07613,0.80275,0.51988,0.50461
879,-82.43432,27.7144,0.64539,0.91152,0.36769,0.62661,0.92542,0.32215,0.84638,0.80886,0.86548,0.3924,0.25035,0.50823,0.53318,0.51991
881,-82.41806,27.71422,0.64539,0.0,0.39609,0.62661,0.92542,0.32215,0.84638,0.80886,0.86548,0.3924,0.38168,0.81853,0.48249,0.45441
886,-82.37742,27.71375,0.19118,0.97935,0.32352,0.89652,0.0,0.08037,0.01978,0.27278,0.01395,0.02316,0.04467,0.96982,0.31488,0.33703
889,-82.35303,27.71346,0.31381,0.0,0.0,0.4548,0.51151,0.97766,0.01564,0.09609,0.44231,0.0,0.61412,0.67739,0.4405,0.45076
895,-82.30426,27.71288,0.94721,0.82454,0.56977,0.35278,0.81073,0.51101,0.86074,0.84123,0.64517,0.44755,0.07613,0.08766,0.50472,0.50087
954,-82.35292,27.72067,0.31381,0.93053,0.34193,0.4548,0.51151,0.97766,0.01564,0.09609,0.44231,0.0,0.11346,0.94799,0.44544,0.46068
1170,-82.14934,27.73972,0.09632,0.67726,0.30515,0.2927,0.0,0.85107,0.31673,0.26936,0.43671,0.20472,0.98213,0.43798,0.51754,0.55366
1325,-82.41733,27.76464,0.57916,0.67726,0.38068,0.05169,0.0,0.24967,0.02097,0.04604,0.05612,0.02703,0.1115,0.97548,0.21176,0.22085
1327,-82.40106,27.76446,0.30442,0.73032,0.77896,0.23996,0.0,0.60801,0.35684,0.02662,0.45079,0.16233,0.1595,0.62552,0.40676,0.42723
1345,-82.25469,27.7627,0.09632,0.0,0.32762,0.2927,0.0,0.85107,0.31673,0.26936,0.43671,0.20472,0.95802,0.31764,0.42265,0.44266
1522,-82.32754,27.7852,0.99398,0.86739,0.48831,0.09226,0.7032,0.19424,0.58249,0.42043,0.10234,0.34654,0.24124,0.95464,0.39142,0.38638
1581,-82.36811,27.79289,0.97406,0.67726,0.67607,0.26686,0.84734,0.23887,0.72936,0.6319,0.39527,0.63929,0.62032,0.83471,0.5369,0.52099
1589,-82.30303,27.79211,0.99398,0.86083,0.78762,0.09226,0.7032,0.19424,0.58249,0.42043,0.10234,0.34654,0.46369,0.90195,0.43981,0.43284
1777,-82.33524,27.81411,0.91786,0.89119,0.71573,0.27501,0.94835,0.15978,0.73529,0.35246,0.24406,0.23613,0.28431,0.82751,0.45439,0.43588
1964,-82.3756,27.8362,0.97406,0.0,0.32735,0.26686,0.84734,0.23887,0.72936,0.6319,0.39527,0.63929,0.93085,0.97625,0.59071,0.57778
1967,-82.35118,27.83592,0.97406,0.76638,0.45489,0.26686,0.84734,0.23887,0.72936,0.6319,0.39527,0.63929,0.93085,0.91995,0.63909,0.63806
2027,-82.38363,27.8435,0.08998,0.0,0.39025,0.6484,0.0,0.68423,0.91681,0.85308,0.84228,0.46857,0.96855,0.40411,0.59948,0.61827
2031,-82.35108,27.84312,0.97406,0.0,0.75525,0.26686,0.84734,0.23887,0.72936,0.6319,0.39527,0.63929,0.93085,0.6262,0.60493,0.5945
2035,-82.31852,27.84273,0.9809,0.92738,0.55942,0.37188,0.67101,0.45293,0.62433,0.30747,0.29261,0.38018,0.30806,0.98906,0.49432,0.49145
2047,-82.22087,27.84152,0.7496,0.88772,0.5632,0.31531,0.96996,0.06838,0.23622,0.09865,0.20035,0.14095,0.68706,0.94708,0.4391,0.41922
2094,-82.36724,27.85052,0.44199,0.88344,0.42549,0.56735,0.825,0.85846,0.68036,0.3454,0.69932,0.94799,0.93085,0.95998,0.74601,0.74599
2095,-82.35911,27.85042,0.44199,0.76638,0.97001,0.56735,0.825,0.85846,0.68036,0.3454,0.69932,0.94799,0.93085,0.62046,0.76542,0.76607
2096,-82.35097,27.85032,0.44199,0.84583,0.35347,0.56735,0.825,0.85846,0.68036,0.3454,0.69932,0.94799,0.93085,0.94192,0.72961,0.72915
2143,-82.48923,27.8591,0.10795,0.98555,0.0,0.03036,0.0,0.0429,0.21958,0.01591,0.18111,0.96649,0.43274,0.99941,0.38432,0.39622
2107,-82.26144,27.84924,0.88239,0.83653,0.41938,0.06651,0.4419,0.19766,0.43666,0.13625,0.2715,0.22323,0.40106,0.91735,0.35558,0.34985
2121,-82.1475,27.84777,0.31381,0.94379,0.30784,0.08451,0.0,0.54306,0.32014,0.51794,0.35816,0.4905,0.93126,0.97274,0.46818,0.48612
