,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,367820405,2002,fire_station,Myakka City Fire Department,-82.1620699000,27.3550426000,-82.16207,27.35504
1,367821019,2002,fire_station,Duette Volunteer Fire / Rescue,-82.1930544000,27.5804975000,-82.19305,27.5805
2,367821031,2002,fire_station,Myakka City Fire Department,-82.2702425000,27.3867038000,-82.27024,27.3867
3,367825898,2001,police,Holmes Beach Police Department,-82.7140616000,27.5097651000,-82.71406,27.50977
4,367825911,2001,police,Manatee County Sheriff's Office - Anna Maria Substation,-82.7361012000,27.5271019000,-82.7361,27.5271
5,676811354,2008,town_hall,,-82.7140779000,27.5099386000,-82.71408,27.50994
6,539288420,2005,post_office,,-82.4251503000,27.5898139000,-82.42515,27.58981
7,1347044441,2005,post_office,,-82.4262884000,27.5721686000,-82.42629,27.57217
8,691149566,2005,post_office,,-82.5810635000,27.5794200000,-82.58106,27.57942
9,367819364,2009,courthouse,Manatee County Circuit Court - Criminal Divison,-82.5730229000,27.4947612000,-82.57302,27.49476
10,367820417,2002,fire_station,West Manatee Fire District Station 1,-82.6282072000,27.4967834000,-82.62821,27.49678
11,367825073,2001,police,Bradenton Police Department,-82.5722892000,27.4986123000,-82.57229,27.49861
12,367825767,2001,police,Manatee County Sheriff's Office,-82.5731280000,27.5165722000,-82.57313,27.51657
13,367825786,2001,police,Palmetto Police Department,-82.5778738000,27.5209638000,-82.57787,27.52096
14,367825799,2001,police,Manatee County Sheriff's Office,-82.5724579000,27.4951284000,-82.57246,27.49513
15,490516751,2002,fire_station,,-82.4848673000,27.4913580000,-82.48487,27.49136
16,591043591,2007,library,Manatee County Historical Records Library,-82.5755018000,27.4964360000,-82.5755,27.49644
17,1037998071,2007,library,Palmetto Branch Library,-82.5752771000,27.5160124000,-82.57528,27.51601
18,3915402439,2001,police,Manatee County Sheriff's Office District 3,-82.4775758000,27.4949034000,-82.47758,27.4949
19,367826126,2099,public_building,Florida Department of Law Enforcement Sarasota Field Office,-82.4864730000,27.3899434000,-82.48647,27.38994
20,367819010,2002,fire_station,Southern Manatee Fire Depratment,-82.5445713000,27.4333216000,-82.54457,27.43332
21,367820328,2002,fire_station,Trailer Estates Fire Department,-82.5834454000,27.4194178000,-82.58345,27.41942
22,367821029,2002,fire_station,Southern Manatee Fire Department,-82.5340920000,27.4261164000,-82.53409,27.42612
23,367825715,2001,police,Florida Highway Patrol Station,-82.4978424000,27.4465876000,-82.49784,27.44659
24,367825743,2001,police,Manatee County Sheriff's Office Mounted,-82.4558915000,27.4769264000,-82.45589,27.47693
25,1615944997,2005,post_office,The UPS Store,-82.5983041000,27.4483878000,-82.5983,27.44839
26,3132662692,2005,post_office,United States Post Office,-82.5973821000,27.4630897000,-82.59738,27.46309
27,3915402396,2001,police,Manatee County Sheriff's Office Operation Center,-82.5667991000,27.4697387000,-82.5668,27.46974
28,3915402397,2001,police,Manatee County Sheriff's Office District 1,-82.5678900000,27.4704626000,-82.56789,27.47046
29,3915402420,2001,police,Manatee County Sheriff's Office District 2,-82.5599384000,27.4406291000,-82.55994,27.44063
30,367820327,2002,fire_station,Longboat Key Fire / Rescue,-82.6580224000,27.4126047000,-82.65802,27.4126
31,367822357,2002,fire_station,Longboat Key Fire and Rescue Department,-82.6582000000,27.4117000000,-82.6582,27.4117
32,367825796,2001,police,Longboat Key Police Department,-82.6579872000,27.4118170000,-82.65799,27.41182
33,367825845,2001,police,Bradenton Beach Police Department,-82.6981868000,27.4680898000,-82.69819,27.46809
34,2081560938,2005,post_office,United States Post Office,-82.6973940000,27.4655318000,-82.69739,27.46553
