provider,lat,lon,num_stops_per_week,score
Key West Transit,24.55611,-81.80473,194,3
Key West Transit,24.56025,-81.78407,17,1
Key West Transit,24.58159,-81.74374,119,2
Key West Transit,24.72889,-81.03741,17,1
Key West Transit,24.73127,-81.02557,17,1
Key West Transit,24.73243,-81.0204,17,1
Key West Transit,24.73226,-81.01898,32,1
Key West Transit,24.73094,-81.02619,15,1
Key West Transit,24.72911,-81.03528,15,1
Key West Transit,24.72826,-81.03956,15,1
Key West Transit,24.72508,-81.04898,15,1
Key West Transit,24.71956,-81.06344,15,1
Key West Transit,24.71755,-81.07033,15,1
Key West Transit,24.71652,-81.07406,15,1
Key West Transit,24.71365,-81.08496,15,1
Key West Transit,24.71194,-81.0915,15,1
Key West Transit,24.54936,-81.78886,30,1
Key West Transit,24.7102,-81.09798,15,1
Key West Transit,24.54956,-81.79082,30,1
Key West Transit,24.70804,-81.11245,15,1
Key West Transit,24.58792,-81.69073,17,1
Key West Transit,24.58971,-81.68071,17,1
Key West Transit,24.59095,-81.6704,17,1
Key West Transit,24.59492,-81.66164,17,1
Key West Transit,24.59683,-81.65739,17,1
Key West Transit,24.67152,-81.24712,15,1
Key West Transit,24.5992,-81.65224,17,1
Key West Transit,24.66039,-81.27315,15,1
Key West Transit,24.62468,-81.60035,17,1
Key West Transit,24.55879,-81.80325,27,1
Key West Transit,24.62952,-81.59252,17,1
Key West Transit,24.55794,-81.80463,27,1
Key West Transit,24.64574,-81.56589,17,1
Key West Transit,24.58071,-81.7452,14,1
Key West Transit,24.55432,-81.80337,155,2
Key West Transit,24.65789,-81.52975,17,1
Key West Transit,24.5531,-81.80248,27,1
Key West Transit,24.66011,-81.5222,17,1
Key West Transit,24.6649,-81.50556,17,1
Key West Transit,24.55171,-81.80461,27,1
Key West Transit,24.66944,-81.34812,15,1
Key West Transit,24.55078,-81.80392,43,1
Key West Transit,24.66645,-81.4974,17,1
Key West Transit,24.54986,-81.80321,27,1
Key West Transit,24.66957,-81.35762,15,1
Key West Transit,24.57357,-81.73753,46,1
Key West Transit,24.54866,-81.80235,27,1
Key West Transit,24.66978,-81.36618,15,1
Key West Transit,24.54817,-81.8018,27,1
Key West Transit,24.66334,-81.47749,17,1
Key West Transit,24.56179,-81.79568,27,1
Key West Transit,24.66198,-81.45417,17,1
Key West Transit,24.66624,-81.38757,15,1
Key West Transit,24.6613,-81.44258,17,1
Key West Transit,24.56022,-81.80096,27,1
Key West Transit,24.6653,-81.392,15,1
Key West Transit,24.55029,-81.80065,27,1
Key West Transit,24.66234,-81.40585,15,1
Key West Transit,24.66114,-81.41142,15,1
Key West Transit,24.66132,-81.41104,17,1
Key West Transit,24.66219,-81.40695,17,1
Key West Transit,24.56777,-81.76641,78,2
Key West Transit,24.66121,-81.44365,15,1
Key West Transit,24.54821,-81.79494,27,1
Key West Transit,24.66533,-81.39238,17,1
Key West Transit,24.66645,-81.38756,17,1
Key West Transit,24.57045,-81.75594,65,1
Key West Transit,24.55023,-81.79172,27,1
Key West Transit,24.55975,-81.79381,30,1
Key West Transit,24.56689,-81.7712,91,2
Key West Transit,24.66184,-81.4538,15,1
Key West Transit,24.5581,-81.7926,30,1
Key West Transit,24.54996,-81.79101,27,1
Key West Transit,24.56447,-81.76119,48,1
Key West Transit,24.66986,-81.36731,17,1
Key West Transit,24.56188,-81.76589,14,1
Key West Transit,24.55965,-81.77031,14,1
Key West Transit,24.54941,-81.78894,27,1
Key West Transit,24.55879,-81.77288,14,1
Key West Transit,24.66322,-81.4778,15,1
Key West Transit,24.55758,-81.77589,14,1
Key West Transit,24.55642,-81.77766,14,1
Key West Transit,24.66971,-81.35779,17,1
