name,address,lat,lon
,1007 Gospel Rd Fort Walton Beach FL 32547,30.46062,-86.633
,400 Ferdon Blvd S Crestview FL 32536,30.755,-86.56618
,461 School Ave W Crestview FL 32536,30.74923,-86.5717
,824 Ferdon Blvd N Crestview FL 32536,30.77545,-86.56464
,208 Partin Dr N Niceville FL 32578,30.52441,-86.47557
,108 Aurora St Valparaiso FL 32580,30.51213,-86.50498
,1250 Eglin Pkwy Shalimar FL 32579,30.44595,-86.58032
,795 Beal Pkwy NW Fort Walton Beach FL 32547-3080,30.44658,-86.63792
,200 Racetrack Rd NW Ft Walton Bch FL 32547,30.45027,-86.62213
,109 McGriff St NE Ft Walton Bch FL 32548,30.41489,-86.60847
,101 Stahlman Ave Destin FL 32541,30.39643,-86.50984
,300 Mary Esther Blvd Mary Esther FL 32569,30.41679,-86.65414
,132 Jet Dr NW Fort Walton Beach FL 32548,30.41577,-86.62324
,0 Eglin Blvd Eglin Afb FL 32542,30.47016,-86.5449
,205 Carol Ave NW Fort Walton Beach FL 32547,30.42379,-86.64062
,1200 Valparaiso Blvd Niceville FL 32578,30.5035,-86.46914
,1028 White Point Rd Niceville FL 32578,30.46863,-86.41529
,10 Yacht Club Dr Fort Walton Beach FL 32548,30.42328,-86.61291
,403 Racetrack Rd NW Fort Walton Beach FL 32547,30.44905,-86.63253
,1335 Miracle Strip Pky Fort Walton Beach FL 32548,30.39705,-86.58462
,92 Sunset Ln Shalimar FL 32579,30.46665,-86.57898
,232 Hollywood Blvd SE Ft Walton Bch FL 32548,30.412,-86.5991
,1800 John Sims Pky Niceville FL 32578,30.51235,-86.44668
,100 Francis St Mary Esther FL 32569,30.41427,-86.74156
,307 Beach Dr Destin FL 32541,30.39856,-86.49176
,425 Mary Esther CTO Ft Walton Bch FL 32548-4019,30.40992,-86.66301
,233 Hill Ave NW Ft Walton Bch FL 32548,30.42794,-86.67016
,4050 South Ferdon Blvd Crestview FL 32536,30.71942,-86.57043
,4580 Range Rd Niceville FL 32578,30.48853,-86.41323
,1001 Mar Walt Dr NW Ft Walton Bch FL 32547,30.45634,-86.63103
,4100 Indian Bayou Trl Destin FL 32541,30.39059,-86.45961
,2845 Airport Rd Crestview FL 32536,30.79523,-86.55528
,4565 Live Oak Church Rd Crestview FL 32536,30.70439,-86.56244
,5503 HWY 4 Baker FL 32531,30.77404,-86.67063
,7590 HWY 189 N Baker FL 32531,30.92637,-86.63678
,5408 Highway 4 Baker FL 32531-8434,30.75833,-86.65616
,532 HWY 90 W Holt FL 32564,30.71452,-86.7472
,3972 2nd Ave Laurel Hill FL 32567,30.9654,-86.45806
,6144 HWY 85 N Crestview FL 32536,30.81959,-86.53877
,5880 McCallum Rd Crestview FL 32536,30.79902,-86.41626
,3252 James Lee Blvd E Crestview FL 32539,30.75355,-86.52144
,412 James Lee Blvd W Crestview FL 32536,30.76472,-86.581
