idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
241,-80.15323,26.33462,0.46389,0.97758,0.56506,0.6162,0.0,0.83396,0.3995,0.49116,0.37136,0.34395,0.50653,0.97892,0.49899,0.52406
683,-80.08802,26.36163,0.62921,0.9745,0.31489,0.59781,0.45381,0.12345,0.44953,0.67329,0.46485,0.94833,0.41357,0.93657,0.5261,0.52672
997,-80.19161,26.38617,0.5182,0.89038,0.32805,0.36435,0.51609,0.5471,0.48584,0.48867,0.22981,0.55008,0.44833,0.99179,0.48051,0.48253
1889,-80.07718,26.44064,0.56295,0.92677,0.66359,0.95141,0.0,0.59301,0.30015,0.82676,0.74959,0.43532,0.43767,0.95616,0.55735,0.57689
1990,-80.14922,26.44989,0.05392,0.94089,0.51124,0.92697,0.69783,0.99385,0.2131,0.35432,0.64045,0.0508,0.31499,0.98281,0.56287,0.57259
2889,-80.06684,26.50524,0.79593,0.89326,0.51157,0.33785,0.68938,0.09286,0.52934,0.69332,0.40589,0.41717,0.61807,0.74373,0.51353,0.51105
3215,-80.14645,26.52912,0.81845,0.8837,0.54014,0.14784,0.79833,0.74887,0.26649,0.4261,0.22107,0.15802,0.39307,0.97988,0.47645,0.47373
3899,-80.0967,26.57098,0.65423,0.96139,0.48099,0.41227,0.49635,0.77898,0.54086,0.79257,0.47234,0.66148,0.55964,0.99419,0.61492,0.62756
4006,-80.14469,26.57955,0.5182,0.9467,0.4443,0.05445,0.49083,0.2494,0.621,0.39167,0.18842,0.61116,0.90632,0.99717,0.53517,0.53931
4563,-80.20779,26.61735,0.82541,0.98137,0.3608,0.54778,0.49237,0.52478,0.48833,0.42327,0.05661,0.27043,0.67257,0.95928,0.4708,0.47115
4806,-80.07053,26.62792,0.48046,0.99323,0.38495,0.83343,0.87247,0.88865,0.93595,0.95021,0.87391,0.53736,0.66431,0.87674,0.76848,0.772
5026,-80.11829,26.6437,0.09541,0.81629,0.68179,0.70345,0.0,0.7712,0.96096,0.91448,0.57846,0.70657,0.61121,0.96557,0.66233,0.68809
5410,-80.6727,26.68704,0.19649,0.0,0.93455,0.988,0.99707,0.97825,0.24983,0.8438,0.99707,0.96039,0.13959,0.26496,0.55342,0.53007
5577,-80.24581,26.68328,0.86459,0.88673,0.47311,0.25492,0.0,0.06809,0.72803,0.64789,0.0689,0.64467,0.41727,0.93907,0.45743,0.47051
5817,-80.14872,26.69502,0.76683,0.94833,0.0,0.8643,0.98656,0.5496,0.86248,0.82157,0.72784,0.93719,0.46053,0.96749,0.63699,0.61871
6169,-80.0916,26.71504,0.53582,0.99755,0.72006,0.35432,0.90598,0.44987,0.70436,0.73965,0.55416,0.9408,0.45856,0.90872,0.61623,0.60605
7060,-80.26679,26.77757,0.92034,0.0,0.0,0.04672,0.0,0.28527,0.59637,0.43196,0.44348,0.84467,0.06943,0.04581,0.17954,0.17931
7198,-80.07319,26.7794,0.25968,0.98391,0.0,0.76212,0.0,0.96557,0.03313,0.19711,0.95035,0.61913,0.18294,0.87295,0.45488,0.46577
7991,-80.10363,26.83073,0.53044,0.9479,0.0,0.30966,0.0,0.57236,0.68117,0.39321,0.18995,0.28954,0.87938,0.86411,0.50858,0.54093
8778,-80.10185,26.88115,0.52223,0.85422,0.49246,0.3197,0.59383,0.06497,0.16566,0.15471,0.21569,0.18419,0.94915,0.98367,0.51643,0.515
9548,-80.12426,26.93225,0.37842,0.99169,0.0,0.63714,0.64232,0.23019,0.33473,0.35773,0.38582,0.86478,0.26102,0.92317,0.43853,0.42661
