Unnamed: 0,name,address,lat,lon
1,,5501 31st St S FL 33712,27.71781,-82.67585
2,,1095 Pinellas Point Dr S FL 33705,27.70702,-82.64767
3,,5995 ML King St S FL 33705,27.71432,-82.64687
4,,1600 54th Ave S FL 33712,27.71872,-82.656
5,,7000 4th St S FL 33705,27.70454,-82.64121
6,,3850 Pompano Dr SE FL 33705,27.73481,-82.63596
7,,4201 6th St S FL 33705,27.72969,-82.64121
8,,3601 38th Ave S FL 33711,27.73444,-82.68184
9,,3747 34th St S FL 33711,27.73421,-82.68011
10,,4025 31st St S FL 33712,27.73122,-82.67595
11,,2512 22nd Ave S FL 33712,27.74804,-82.66763
12,,2120 19th St S FL 33712,27.74917,-82.65874
13,,1310 22nd Ave S FL 33705,27.74807,-82.65278
14,,2000 7th St S FL 33705,27.75042,-82.64151
15,,1045 16th St S FL 33705,27.75996,-82.65539
16,,130 19th Ave SE FL 33705,27.75142,-82.6333
17,,601 14th St S FL 33705,27.76395,-82.65282
18,,1000 28th St S FL 33712,27.75974,-82.6705
19,,1035 Burlington Ave N FL 33705,27.7744,-82.6494
20,,535 4th Ave N FL 33701,27.7768,-82.64116
21,,440 4th Ave N FL 33701,27.77608,-82.63954
22,,2750 5th Ave N FL 33713,27.77701,-82.6706
23,,3150 5th Ave N FL 33713,27.77678,-82.67628
24,,3241 30th Ave N FL 33713,27.79967,-82.67789
25,,3900 28th St N FL 33714,27.80761,-82.67163
26,,2500 16th St N FL 33704,27.79534,-82.65575
27,,1825 4th St N FL 33704,27.78958,-82.63843
28,,126 11th Ave NE FL 33701,27.78275,-82.63389
29,,2812 8th St N FL 33704,27.79784,-82.64493
30,,301 37th Ave N FL 33704,27.8061,-82.6375
31,,1376 Snell Isle Blvd NE FL 33704,27.80381,-82.61086
32,,4344 21st St N FL 33714,27.81174,-82.66147
33,,1246 50th Ave N FL 33703,27.81687,-82.65176
34,,2612 12th St N FL 33704,27.79586,-82.6506
35,,4545 Chancellor St NE FL 33703,27.81282,-82.60064
36,,4400 Shores Acres Blvd NE FL 33703,27.81252,-82.61003
37,,150 62nd Ave NE FL 33702,27.82783,-82.63345
38,,175 62nd Ave N FL 33702,27.82893,-82.63539
39,,4100 62nd Ave FL 33781,27.82738,-82.68843
40,,1900 61st Ave N FL 33714,27.82689,-82.66013
41,,861 70th Ave N FL 33702,27.83596,-82.64585
42,,6635 ML King St N FL 33702,27.83296,-82.64611
43,,7201 1st St NE FL 33702,27.83784,-82.63465
44,,6333 1st St NE FL 33702,27.8298,-82.63418
45,,434 90th Ave N FL 33702,27.85399,-82.64027
46,,845 87th Ave N FL 33702,27.85191,-82.64622
47,,3401 Gandy Blvd FL 33781,27.84416,-82.68135
48,,4400 70th Ave FL 33781,27.83505,-82.69487
49,,9950 Mainlands Blvd E FL 33782,27.86167,-82.68256
50,,1900 Gandy Blvd FL 33702,27.85258,-82.65815
51,,10441 Gandy Blvd FL 33702,27.86677,-82.62992
52,,4591 Lake Blvd FL 33762,27.86588,-82.69447
53,,13880 Feather Sound Dr FL 33762,27.89772,-82.67395
54,,107 16th Ave FL 33706,27.69391,-82.7367
55,,4600 54th Ave S FL 33711,27.71767,-82.69627
56,,3455 26th Ave S FL 33711,27.74538,-82.68064
57,,1137 37th St S FL 33711,27.75882,-82.68382
58,,5313 27th Ave S FL 33707,27.74367,-82.70628
59,,5501 28th Ave S FL 33707,27.74269,-82.70788
60,,5730 Shore Blvd S FL 33707,27.73694,-82.71134
61,,1000 55th St S FL 33707,27.76016,-82.70764
62,,5800 15th Ave S FL 33707,27.75506,-82.71285
63,,227 70th St S FL 33707,27.76789,-82.73564
64,,635 64th St S FL 33707,27.76332,-82.72469
65,,6168 1st Ave N FL 33710,27.77148,-82.71992
66,,7047 Sunset Dr S FL 33707,27.76181,-82.7404
67,,4630 Tifton Dr S FL 33711,27.73904,-82.69697
68,,1150 49th St N FL 33710,27.78339,-82.70044
69,,4901 5th Ave N FL 33710,27.77752,-82.70047
70,,6315 Central Ave FL 33710,27.77113,-82.72309
71,,4301 13th Ave S FL 33711,27.75864,-82.69323
72,,4444 5th Ave N FL 33713,27.77702,-82.69369
73,,505 35th St S FL 33711,27.76616,-82.68121
74,,4200 5th Ave S FL 33711,27.76606,-82.69093
75,,5441 9th Ave N FL 33710,27.78184,-82.70728
76,,3600 76th St N FL 33710,27.80482,-82.7441
77,,6745 38th Ave N FL 33710,27.80726,-82.73155
78,,5401 22nd Ave N FL 33710,27.79286,-82.70708
79,,3800 17th Ave N FL 33713,27.78797,-82.68552
80,,4515 38th Ave N FL 33713,27.80688,-82.69445
81,,7900 22nd Ave N FL 33710,27.7917,-82.74822
82,,7808 46th Ave N FL 33709,27.81277,-82.74639
83,,5700 40th Ave N FL 33709,27.80804,-82.71153
84,,4600 58th St N FL 33709,27.8142,-82.71277
85,,4501 30th Ave N FL 33713,27.79952,-82.69436
86,,7891 26th Ave N FL 33710,27.79557,-82.74756
87,,6022 80th St N FL 33709,27.8267,-82.7501
88,,7401 54th Ave N FL 33709,27.82202,-82.74163
89,,8098 66th St FL 33781,27.84529,-82.7291
90,,6051 78th Ave FL 33781,27.84336,-82.71682
91,,5972 62nd Ave FL 33781,27.82775,-82.71602
92,,4255 56th Ave N FL 33714,27.82312,-82.69102
