idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
186,-81.28512,29.66209,0.00811,0.0,0.0,0.17406,0.0,0.85098,0.73867,0.91845,0.28469,0.00811,0.04483,0.42537,0.25416,0.27474
422,-81.50754,29.70942,0.39604,0.0,0.55603,0.73557,0.0,0.67239,0.42489,0.19361,0.75036,0.37577,0.6011,0.13948,0.38128,0.38616
467,-81.50737,29.71662,0.39604,0.0,0.54626,0.73557,0.0,0.67239,0.42489,0.19361,0.75036,0.37577,0.6011,0.1309,0.38694,0.39188
514,-81.49065,29.72353,0.39604,0.80114,0.0,0.73557,0.0,0.67239,0.42489,0.19361,0.75036,0.37577,0.6011,0.69742,0.41894,0.43186
517,-81.46581,29.72309,0.39604,0.91202,0.3865,0.73557,0.0,0.67239,0.42489,0.19361,0.75036,0.37577,0.60253,0.96805,0.4683,0.48095
561,-81.46564,29.7303,0.51836,0.0,0.39032,0.8021,0.41369,0.96543,0.59347,0.71102,0.89294,0.7413,0.97759,0.95804,0.63148,0.63127
984,-81.26526,29.79144,0.16094,0.85002,0.61636,0.46757,0.98236,0.89151,0.11254,0.32833,0.5918,0.09752,0.19051,0.74797,0.52042,0.51694
985,-81.25698,29.79128,0.06915,0.0,0.0,0.85408,0.95708,0.95064,0.0,0.0,0.38007,0.02766,0.19051,0.79471,0.38517,0.36544
1031,-81.26508,29.79864,0.16094,0.74988,0.52289,0.46757,0.98236,0.89151,0.11254,0.32833,0.5918,0.09752,0.19051,0.78565,0.507,0.50175
1032,-81.25679,29.79848,0.06915,0.0,0.0,0.85408,0.95708,0.95064,0.0,0.0,0.38007,0.02766,0.19051,0.79471,0.38517,0.36544
1073,-81.29804,29.80648,0.75322,0.0,0.76133,0.92132,0.53624,0.34573,0.28422,0.3753,0.65856,0.53982,0.34478,0.76609,0.45971,0.44834
1077,-81.2649,29.80585,0.06915,0.94516,0.64306,0.85408,0.95708,0.95064,0.0,0.0,0.38007,0.02766,0.19051,0.79185,0.5095,0.50397
1116,-81.32272,29.81416,0.84645,0.99547,0.6278,0.48975,0.65784,0.65021,0.54721,0.8412,0.44754,0.51764,0.0546,0.7649,0.54371,0.54649
1117,-81.31443,29.814,0.75322,0.0,0.90463,0.92132,0.53624,0.34573,0.28422,0.3753,0.65856,0.53982,0.34478,0.69385,0.49371,0.48286
1123,-81.26471,29.81305,0.06915,0.94516,0.64306,0.85408,0.95708,0.95064,0.0,0.0,0.38007,0.02766,0.19051,0.79185,0.5095,0.50397
1165,-81.30596,29.82105,0.75322,0.90844,0.61516,0.92132,0.53624,0.34573,0.28422,0.3753,0.65856,0.53982,0.34478,0.98212,0.52646,0.52718
1169,-81.27282,29.82042,0.54363,0.74988,0.81497,0.57225,0.7835,0.21125,0.02289,0.11564,0.56819,0.64163,0.0093,0.45374,0.42308,0.40379
1170,-81.26453,29.82026,0.06915,0.97043,0.63448,0.85408,0.95708,0.95064,0.0,0.0,0.38007,0.02766,0.13853,0.81831,0.43995,0.42391
1203,-81.38037,29.82965,0.09442,0.95112,0.3989,0.93085,0.0,0.9907,0.89771,0.48569,0.46972,0.50811,0.30329,0.97949,0.586,0.61013
1204,-81.37208,29.8295,0.84645,0.94731,0.41106,0.48975,0.65784,0.65021,0.54721,0.8412,0.44754,0.51764,0.66857,0.98665,0.5793,0.57933
1210,-81.32236,29.82857,0.73414,0.95804,0.59227,0.87315,0.63877,0.79471,0.7196,0.49523,0.54912,0.81974,0.45899,0.94731,0.70127,0.70293
1216,-81.27263,29.82762,0.54363,0.0,0.96972,0.57225,0.7835,0.21125,0.02289,0.11564,0.56819,0.64163,0.01073,0.31044,0.3722,0.342
1257,-81.32218,29.83577,0.65784,0.95231,0.55484,0.17406,0.49404,0.55913,0.35265,0.6166,0.39485,0.67835,0.45875,0.96423,0.61167,0.62579
1258,-81.31389,29.83562,0.65784,0.0,0.81283,0.17406,0.49404,0.55913,0.35265,0.6166,0.39485,0.67835,0.48045,0.79971,0.51637,0.51751
1263,-81.27245,29.83483,0.61016,0.93586,0.8691,0.42036,0.92966,0.23486,0.82141,0.79399,0.68574,0.95303,0.13782,0.89723,0.54833,0.52166
1304,-81.322,29.84298,0.65784,0.96352,0.55436,0.17406,0.49404,0.55913,0.35265,0.6166,0.39485,0.67835,0.48212,0.94993,0.61868,0.63326
1305,-81.31371,29.84282,0.65784,0.0,0.66547,0.17406,0.49404,0.55913,0.35265,0.6166,0.39485,0.67835,0.49976,0.75465,0.50473,0.50636
1310,-81.27227,29.84203,0.61016,0.0,0.91297,0.42036,0.92966,0.23486,0.82141,0.79399,0.68574,0.95303,0.13782,0.26824,0.44726,0.41104
1311,-81.26398,29.84187,0.61016,0.0,0.0,0.42036,0.92966,0.23486,0.82141,0.79399,0.68574,0.95303,0.13782,0.93467,0.4045,0.36352
1351,-81.32182,29.85018,0.65784,0.96042,0.59752,0.17406,0.49404,0.55913,0.35265,0.6166,0.39485,0.67835,0.8722,0.90057,0.68289,0.70344
1356,-81.28037,29.84939,0.54363,0.89557,0.65951,0.57225,0.7835,0.21125,0.02289,0.11564,0.56819,0.64163,0.01144,0.89866,0.43987,0.41889
