lat,lon
28.81181,-81.26604
28.81293,-81.29851
28.68829,-81.4066
28.64328,-81.32208
28.64791,-81.3904
28.64535,-81.39029
28.66323,-81.34773
28.6632,-81.34621
28.65697,-81.34129
28.64371,-81.35372
28.6456,-81.35271
28.64917,-81.35071
28.65135,-81.34905
28.6522,-81.34787
28.65025,-81.34574
28.65028,-81.34237
28.6522,-81.34092
28.6514,-81.34955
28.64782,-81.35194
28.64529,-81.35329
28.64324,-81.35442
28.65232,-81.34105
28.65042,-81.342
28.65237,-81.34757
28.69615,-81.3271
28.67115,-81.4547
28.67002,-81.45289
28.66936,-81.44803
28.66936,-81.4446
28.66921,-81.43786
28.66677,-81.43159
28.66609,-81.42814
28.66393,-81.42738
28.6595,-81.42744
28.64169,-81.45723
28.6418,-81.45769
28.66654,-81.42873
28.6671,-81.43186
28.66895,-81.43598
28.66963,-81.44357
28.66963,-81.44634
28.67024,-81.45249
28.67214,-81.45563
28.72419,-81.31595
28.72736,-81.31288
28.73129,-81.30903
28.74364,-81.29706
28.75093,-81.29012
28.75135,-81.29028
28.73135,-81.30952
28.72762,-81.31309
28.72423,-81.31639
28.78682,-81.23982
28.81143,-81.29775
28.8116,-81.30217
28.81155,-81.31064
28.81179,-81.31496
28.81183,-81.32408
28.81186,-81.32662
28.81138,-81.32335
28.8114,-81.31409
28.81117,-81.30591
28.61321,-81.20744
28.6566,-81.23629
28.65625,-81.23595
28.64566,-81.20822
28.61309,-81.20779
28.62919,-81.20809
28.75631,-81.29842
28.75597,-81.35363
28.75352,-81.35883
28.75443,-81.35811
28.75611,-81.35711
28.61494,-81.20782
28.61547,-81.20752
28.62393,-81.20769
28.62625,-81.20772
28.62925,-81.20776
28.7576,-81.29128
28.75793,-81.29136
28.75709,-81.29429
28.78668,-81.23513
28.63854,-81.20785
28.63272,-81.20725
28.63238,-81.20768
28.62327,-81.208
28.78535,-81.3592
28.7865,-81.35878
28.765,-81.3616
28.76511,-81.3611
28.76138,-81.36614
28.7619,-81.36611
28.75785,-81.36762
28.75774,-81.36736
28.76013,-81.28437
28.67354,-81.33775
28.78462,-81.35789
28.7842,-81.35817
28.7803,-81.35757
28.78135,-81.35764
28.77575,-81.35899
28.77649,-81.35835
