osm_id,code,fclass,name,point_x,point_y,lon,lat
358717692,2082,school,W F Burns Oak Hill Elementary School,-80.8489419000,28.8616560000,-80.84894,28.86166
358717781,2082,school,Coronado Beach Elementary School,-80.8786640000,29.0033194000,-80.87866,29.00332
358717785,2082,school,New Smyrna Beach Junior High School,-80.9244984000,29.0072083000,-80.9245,29.00721
358717791,2082,school,Samsula Elementary School,-80.9197761000,29.0155415000,-80.91978,29.01554
358717794,2082,school,Faulkner Street Elementary School,-80.9244983000,29.0288745000,-80.9245,29.02887
358717798,2082,school,Edgewater Public School,-80.9072760000,28.9844311000,-80.90728,28.98443
4304809399,2501,supermarket,Aldi,-80.9632977000,29.0141189000,-80.9633,29.01412
367819310,2014,arts_centre,Ukrainian Cultural Center,-81.0656280000,29.2337410000,-81.06563,29.23374
2517032621,2303,cafe,Java Junction,-81.0462944000,29.2555169000,-81.04629,29.25552
358694511,2082,school,Cypress Street School,-81.0414447000,29.2113701000,-81.04144,29.21137
358717730,2082,school,Highland Elementary School,-81.0525573000,29.2055403000,-81.05256,29.20554
1316154986,2303,cafe,Cafeteria,-81.0484992000,29.2028349000,-81.0485,29.20283
3655735316,2303,cafe,Peggy's Whole Foods & Coffee Cafe,-81.0771906000,29.1878120000,-81.07719,29.18781
3657241974,2501,supermarket,Save-A-Lot,-81.0430293000,29.2056435000,-81.04303,29.20564
4031455950,2501,supermarket,ALDI,-81.0496039000,29.2196559000,-81.0496,29.21966
4749470677,2081,university,Embry-Riddle Chanute Complex,-81.0404153000,29.1692883000,-81.04042,29.16929
4753541068,2501,supermarket,Gordon Food Service Store,-81.0567044000,29.1983272000,-81.0567,29.19833
4753553866,2303,cafe,Starbucks,-81.0564634000,29.1972114000,-81.05646,29.19721
5070508932,2501,supermarket,Walmart Neighborhood Market,-81.0332497000,29.1423017000,-81.03325,29.1423
5261105322,2303,cafe,Gloria Jean's,-81.0648151000,29.1966898000,-81.06482,29.19669
5536206521,2504,mall,Tanger Outlets,-81.0985529000,29.2151655000,-81.09855,29.21517
5834736085,2082,school,Phoenix East Aviation,-81.0584567000,29.1847708000,-81.05846,29.18477
6601086657,2303,cafe,Starbucks,-81.0489025000,29.1876437000,-81.0489,29.18764
6691780706,2303,cafe,McCafé,-81.0306445000,29.1727055000,-81.03064,29.17271
6750962231,2504,mall,ONE DAYTONA,-81.0708903000,29.1919670000,-81.07089,29.19197
7830453534,2303,cafe,Boundless All-You-Care-To-Eat,-81.0516449000,29.1897424000,-81.05164,29.18974
358717804,2082,school,Woodward Avenue Elementary School,-81.3297855000,29.0108183000,-81.32979,29.01082
358717755,2082,school,Seabreeze High School,-81.0303331000,29.2658134000,-81.03033,29.26581
358717762,2082,school,Osceola Elementary School,-81.0400556000,29.2869240000,-81.04006,29.28692
358717765,2082,school,Ormond Beach Elementary School,-81.0578340000,29.2835907000,-81.05783,29.28359
4733181638,2303,cafe,Golden Leaf Coffee Co.,-81.0563405000,29.2856009000,-81.05634,29.2856
4733251769,2303,cafe,Rosie's Cafe,-81.0592352000,29.2836409000,-81.05924,29.28364
4733394329,2501,supermarket,Winn Dixie,-81.0683395000,29.2821030000,-81.06834,29.2821
4733394344,2501,supermarket,Perrine's Produce,-81.0843700000,29.2779776000,-81.08437,29.27798
4733394347,2501,supermarket,Peggy's Whole Foods of Ormond,-81.0840615000,29.2770137000,-81.08406,29.27701
5261367929,2303,cafe,Starbucks,-81.0407745000,29.2923223000,-81.04077,29.29232
5261367939,2303,cafe,Genovese's Cafe,-81.0419689000,29.2918260000,-81.04197,29.29183
5261368026,2303,cafe,Peach Valley Café,-81.0419028000,29.2918557000,-81.0419,29.29186
5534800164,2501,supermarket,Publix,-81.0518546000,29.2616886000,-81.05185,29.26169
